from_region,to_region,distance_km,base_rate_per_ldm,base_rate_per_km,coefficient,seasonal_factors,urgency_factors
DK-1,LV-1,1094.9,360.9652160904039,0.4331582593084846,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,LV-2,1038.9,358.39771963084985,0.43007726355701986,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,LV-3,1202.2,360.7428105152934,0.4328913726183521,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,LV-4,1290.6,352.4688279342692,0.42296259352112303,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,MT-1,2886.6,303.41256010456027,0.3875521776125476,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,MT-2,2878.8,284.02566108241575,0.3627890797019092,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,MT-3,2883.8,304.85735400635605,0.38939762864677413,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,MT-4,2886.0,308.5174437954686,0.3940727013185817,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,MT-5,2879.8,308.8764150045727,0.3945312191655046,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,MT-6,2870.9,311.82368204558657,0.39829579555402655,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,ES-1,2629.7,301.91929512732617,0.38564481394414774,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,IE-1,1639.4,348.8046147719283,0.41856553772631394,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,BE-1,951.3,374.4555982080829,0.46685373283085657,1.0,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,AT-1,1184.6,350.0407723597992,0.420048926831759,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,BG-1,2221.0,297.9601998789958,0.38058781833283495,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,BG-2,2316.4,290.79400983969646,0.3714343655095283,0.85,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,DE-1,690.2,386.18858141873295,0.4814818677428359,1.0,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
DK-1,LU-1,1001.3,343.6576673296631,0.4123892007955957,0.9,"{""1"": 0.9, ""2"": 0.9, ""3"": 0.95, ""4"": 1.0, ""5"": 1.0, ""6"": 1.05, ""7"": 0.9, ""8"": 0.85, ""9"": 1.1, ""10"": 1.15, ""11"": 1.1, ""12"": 1.0}","{""standard"": 1.0, ""express"": 1.3, ""same_day"": 1.8}"
